                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3806,                0.95091,                 1.1334,                0.54822,                0.65303,                0.57462,                0.36301,                 1.2907,                 0.7387,                 1.1318,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3354,                0.77576,                 1.1226,                0.52853,                0.70824,                0.59973,                0.37567,                 1.2899,                0.71729,                 1.1717,              0.0065529,              0.0065529,              0.0065529
                      3,                 1.3579,                0.79075,                 1.1429,                0.52569,                 0.5729,                0.54837,                0.32822,                 1.3296,                0.74414,                 1.2118,              0.0096663,              0.0096663,              0.0096663
                      4,                 1.3606,                0.77772,                 1.1544,                0.51226,                0.59897,                0.54372,                0.33126,                 1.3337,                0.74703,                 1.2083,               0.009505,               0.009505,               0.009505
                      5,                 1.3428,                 0.7606,                 1.1478,                0.54019,                 0.5949,                0.57697,                 0.3545,                 1.3003,                 0.6978,                   1.19,               0.009505,               0.009505,               0.009505
                      6,                 1.3286,                0.74011,                 1.1471,                0.60222,                0.60189,                0.61954,                0.39322,                 1.2782,                0.66697,                 1.1779,                0.00934,                0.00934,                0.00934
                      7,                 1.3177,                0.73166,                 1.1418,                0.54589,                 0.6579,                0.61059,                0.39136,                 1.2706,                 0.6552,                 1.1747,               0.009175,               0.009175,               0.009175
                      8,                 1.3067,                0.71787,                 1.1388,                0.53477,                 0.6255,                0.58353,                0.38104,                 1.2732,                0.66223,                 1.1758,                0.00901,                0.00901,                0.00901
                      9,                  1.303,                0.71705,                 1.1336,                0.51155,                0.67885,                0.59315,                0.38685,                 1.2684,                0.64936,                  1.169,               0.008845,               0.008845,               0.008845
                     10,                 1.2958,                0.70816,                 1.1346,                0.55429,                0.68444,                0.64203,                 0.4122,                 1.2704,                0.63061,                 1.1818,                0.00868,                0.00868,                0.00868
                     11,                  1.289,                0.69895,                  1.131,                0.60281,                0.62858,                0.61506,                0.40143,                 1.2625,                0.63918,                 1.1696,               0.008515,               0.008515,               0.008515
                     12,                 1.2872,                0.70057,                 1.1279,                0.55805,                0.69144,                0.62952,                0.40654,                 1.2536,                0.63856,                 1.1723,                0.00835,                0.00835,                0.00835
                     13,                 1.2761,                0.69077,                 1.1245,                0.57187,                0.65695,                0.63251,                0.41842,                 1.2512,                0.62923,                 1.1617,               0.008185,               0.008185,               0.008185
                     14,                 1.2787,                0.69254,                 1.1254,                0.57394,                0.64573,                0.63257,                0.41772,                  1.248,                0.63216,                 1.1663,                0.00802,                0.00802,                0.00802
                     15,                 1.2709,                0.68348,                 1.1218,                 0.5319,                0.67625,                0.63322,                0.41429,                 1.2487,                0.62606,                 1.1582,               0.007855,               0.007855,               0.007855
                     16,                 1.2675,                0.68092,                 1.1212,                0.60494,                0.60887,                0.62575,                0.40951,                 1.2434,                0.62362,                 1.1541,                0.00769,                0.00769,                0.00769
                     17,                 1.2629,                0.68267,                 1.1169,                0.59821,                0.69141,                0.66342,                0.44073,                 1.2391,                0.62063,                  1.157,               0.007525,               0.007525,               0.007525
                     18,                 1.2607,                 0.6806,                 1.1171,                0.57197,                0.68605,                0.65533,                0.42973,                 1.2371,                0.61867,                 1.1526,                0.00736,                0.00736,                0.00736
                     19,                 1.2636,                 0.6799,                 1.1133,                0.59694,                0.68279,                0.65496,                0.43374,                 1.2378,                0.61376,                 1.1505,               0.007195,               0.007195,               0.007195
                     20,                 1.2522,                 0.6729,                 1.1106,                 0.6652,                0.62736,                0.64942,                0.42704,                 1.2363,                0.61897,                 1.1483,                0.00703,                0.00703,                0.00703
                     21,                 1.2558,                0.67658,                 1.1119,                0.62949,                0.62889,                0.65455,                0.43343,                 1.2317,                0.61361,                 1.1535,               0.006865,               0.006865,               0.006865
                     22,                 1.2467,                0.67023,                 1.1117,                0.59997,                0.69722,                0.66699,                0.44996,                 1.2345,                0.61241,                  1.147,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.2468,                0.66442,                 1.1095,                0.55268,                0.68444,                0.65083,                0.43949,                 1.2307,                0.61291,                 1.1483,               0.006535,               0.006535,               0.006535
                     24,                 1.2479,                0.66489,                   1.11,                  0.622,                0.65513,                0.66232,                0.44069,                 1.2333,                0.60603,                 1.1508,                0.00637,                0.00637,                0.00637
                     25,                 1.2453,                0.66669,                 1.1107,                0.58035,                0.70108,                0.66243,                0.44042,                 1.2316,                0.60411,                  1.142,               0.006205,               0.006205,               0.006205
                     26,                 1.2361,                0.66027,                 1.1054,                0.61326,                0.68371,                0.65993,                0.44478,                 1.2285,                0.60526,                 1.1472,                0.00604,                0.00604,                0.00604
                     27,                 1.2314,                0.65761,                 1.1031,                0.60356,                 0.6914,                0.67268,                0.45161,                 1.2285,                0.60268,                 1.1479,               0.005875,               0.005875,               0.005875
                     28,                 1.2369,                0.66002,                 1.1076,                0.58824,                0.71769,                0.66957,                0.44877,                 1.2286,                0.60173,                 1.1424,                0.00571,                0.00571,                0.00571
                     29,                 1.2294,                0.65225,                 1.1025,                 0.6084,                0.68142,                0.67565,                0.45012,                 1.2258,                0.60212,                 1.1509,               0.005545,               0.005545,               0.005545
                     30,                 1.2276,                0.65157,                 1.0997,                0.60071,                0.68017,                0.66958,                0.45126,                 1.2224,                0.60278,                 1.1416,                0.00538,                0.00538,                0.00538
                     31,                 1.2242,                0.64855,                 1.0967,                0.56131,                0.71954,                0.65886,                 0.4453,                 1.2236,                0.60207,                 1.1403,               0.005215,               0.005215,               0.005215
                     32,                 1.2251,                0.65237,                 1.0989,                0.60253,                0.70646,                0.67312,                0.45637,                  1.222,                 0.5955,                 1.1422,                0.00505,                0.00505,                0.00505
                     33,                  1.223,                0.64728,                 1.0937,                0.56203,                0.73683,                0.65879,                0.44419,                 1.2208,                0.60005,                  1.138,               0.004885,               0.004885,               0.004885
                     34,                 1.2145,                0.64827,                 1.0944,                0.60098,                0.70274,                0.67205,                0.45764,                 1.2198,                0.59583,                 1.1392,                0.00472,                0.00472,                0.00472
                     35,                 1.2166,                0.64005,                 1.0908,                0.59055,                0.71964,                0.67146,                0.45839,                 1.2206,                0.59426,                 1.1371,               0.004555,               0.004555,               0.004555
                     36,                 1.2128,                0.64094,                 1.0945,                0.55995,                0.73849,                0.66185,                0.45151,                 1.2206,                0.59437,                 1.1422,                0.00439,                0.00439,                0.00439
                     37,                  1.214,                 0.6441,                 1.0935,                0.60049,                0.68658,                0.67012,                0.45306,                 1.2194,                0.59414,                 1.1384,               0.004225,               0.004225,               0.004225
                     38,                 1.2122,                 0.6388,                 1.0907,                0.55074,                0.72415,                0.66682,                0.45481,                 1.2174,                0.59521,                 1.1396,                0.00406,                0.00406,                0.00406
                     39,                 1.2034,                0.63512,                 1.0876,                0.60133,                0.69185,                 0.6758,                0.46038,                 1.2147,                0.59514,                 1.1374,               0.003895,               0.003895,               0.003895
                     40,                 1.1999,                  0.632,                 1.0867,                0.61128,                0.68248,                0.67232,                 0.4593,                 1.2157,                0.59419,                 1.1352,                0.00373,                0.00373,                0.00373
                     41,                 1.2016,                0.62775,                 1.0853,                0.59915,                0.67405,                0.67546,                0.45978,                 1.2166,                0.59132,                 1.1356,               0.003565,               0.003565,               0.003565
                     42,                 1.1987,                0.63093,                 1.0845,                 0.5705,                0.71532,                0.66164,                0.44917,                 1.2167,                0.59496,                 1.1366,                 0.0034,                 0.0034,                 0.0034
                     43,                 1.1933,                0.62633,                 1.0863,                0.58262,                0.70293,                0.66527,                0.45388,                 1.2172,                0.59408,                 1.1391,               0.003235,               0.003235,               0.003235
                     44,                 1.1914,                0.62237,                 1.0846,                0.59077,                0.68028,                0.66684,                 0.4537,                  1.217,                0.59091,                 1.1375,                0.00307,                0.00307,                0.00307
                     45,                 1.1973,                 0.6282,                 1.0836,                0.60579,                0.70129,                0.67231,                0.45585,                 1.2182,                0.59477,                  1.132,               0.002905,               0.002905,               0.002905
                     46,                 1.1878,                0.61888,                 1.0765,                 0.5989,                0.68648,                0.66917,                0.45523,                 1.2193,                0.59517,                 1.1283,                0.00274,                0.00274,                0.00274
                     47,                 1.1846,                0.61973,                 1.0743,                0.58082,                0.72959,                0.66827,                0.45545,                  1.219,                0.59584,                 1.1268,               0.002575,               0.002575,               0.002575
                     48,                 1.1807,                0.61966,                 1.0721,                0.57616,                0.72484,                0.66142,                 0.4488,                 1.2199,                0.59488,                 1.1261,                0.00241,                0.00241,                0.00241
                     49,                 1.1806,                0.61872,                 1.0753,                0.58537,                0.71739,                0.66464,                0.45255,                 1.2193,                0.59721,                  1.127,               0.002245,               0.002245,               0.002245
                     50,                 1.1709,                0.61457,                 1.0759,                0.58072,                0.69655,                0.65896,                0.44679,                   1.22,                0.59799,                 1.1299,                0.00208,                0.00208,                0.00208
                     51,                 1.1817,                0.60188,                 1.1064,                0.56707,                0.71746,                 0.6596,                0.44949,                 1.2204,                0.60044,                 1.1295,               0.001915,               0.001915,               0.001915
                     52,                 1.1753,                0.59872,                 1.1059,                0.58579,                0.68563,                0.66144,                 0.4509,                 1.2206,                0.60034,                 1.1286,                0.00175,                0.00175,                0.00175
                     53,                 1.1695,                0.59609,                 1.1041,                0.56414,                0.69551,                0.65454,                0.44529,                 1.2208,                0.60133,                 1.1273,               0.001585,               0.001585,               0.001585
                     54,                 1.1702,                0.59195,                 1.1028,                 0.5613,                0.70248,                0.65372,                0.44377,                 1.2212,                0.60085,                 1.1276,                0.00142,                0.00142,                0.00142
                     55,                 1.1607,                0.58664,                 1.1013,                0.56287,                0.71725,                0.65147,                0.44193,                 1.2231,                0.60103,                 1.1297,               0.001255,               0.001255,               0.001255
                     56,                 1.1554,                0.58276,                 1.1016,                  0.564,                0.71073,                0.64946,                0.43836,                 1.2252,                0.60228,                 1.1321,                0.00109,                0.00109,                0.00109
                     57,                 1.1498,                0.57798,                 1.1011,                 0.5796,                0.68942,                0.64881,                0.43747,                  1.227,                0.60295,                 1.1333,               0.000925,               0.000925,               0.000925
                     58,                 1.1437,                0.57629,                 1.0945,                0.57744,                0.69662,                0.64884,                0.43668,                 1.2285,                0.60373,                  1.134,                0.00076,                0.00076,                0.00076
                     59,                 1.1421,                 0.5702,                 1.0941,                0.56979,                0.69475,                0.64527,                0.43479,                 1.2315,                0.60444,                 1.1347,               0.000595,               0.000595,               0.000595
                     60,                 1.1336,                0.56861,                 1.0908,                0.57999,                0.68642,                0.64219,                0.43327,                 1.2335,                0.60485,                 1.1353,                0.00043,                0.00043,                0.00043
